Það er að segja: þar svaf hún.	Lena_og_Árni_Bergmann
ÉG HELLI EF ÞÚ SLEPPIR HONUM EKKI!	Andrés_Indriðason
Lætur sem hún heyri ekki höggin.	Vigdís_Grímsdóttir
Henni leiðist að strjúka honum.	Vigdís_Grímsdóttir
Hlýt auðvitað að hafa hann í blóðinu.	Andrés_Indriðason
Þau eru hvít.	Vigdís_Grímsdóttir
Bjóða honum upp á eitur og æði.	Vigdís_Grímsdóttir
Létu skeftin hvíla á gólfinu.	Andrés_Indriðason
Kaffi fimm sinnum á dag.	Lena_og_Árni_Bergmann
Og þeir koma seint heim á kvöldin.	Vigdís_Grímsdóttir
Tala alvarlega við hann.	Vigdís_Grímsdóttir
Við dönsum.	Vigdís_Grímsdóttir
Ég játa það.	Guðlaug_Richter
Þú ert Vilhjálmur frændi minn.	Vigdís_Grímsdóttir
Klukkan slær tólf.	Ólafur_Jóhann_Ólafsson
Hvern kima.	Vigdís_Grímsdóttir
Tárið rennur.	Vigdís_Grímsdóttir
Þeir koma!	Andrés_Indriðason
Læst skoða bækurnar.	Vigdís_Grímsdóttir
Svo einfalt var það þá.	Sigmundur_Ernir_Rúnarsson
Hún getur ekki hætt.	Vigdís_Grímsdóttir
Trémyndina hafði ég ekki þarna.	Elín_Pálmadóttir
Dáist einkum að myndinni af Thor.	Elín_Pálmadóttir
Stóllinn þinn og þú renna nær.	Vigdís_Grímsdóttir
Það sé ég núna.	Vigdís_Grímsdóttir
Allt verður svart.	Vigdís_Grímsdóttir
Þú lætur einsog þú sért fórnarlamb mitt.	Vigdís_Grímsdóttir
Það er kannski það sem hana vantar.	Sigmundur_Ernir_Rúnarsson
Mér fannst ég alltaf vera að detta.	Vigdís_Grímsdóttir
Að ég leiði son þeirra.	Vigdís_Grímsdóttir
Ég trekkti fóninn upp.	Andrés_Indriðason
Ég er í vist hérna.	Andrés_Indriðason
Og hann hefði ort til hennar ljóð.	Vigdís_Grímsdóttir
Nei, blessuð góða.	Andrés_Indriðason
Það er búið að reyna allt.	Sigmundur_Ernir_Rúnarsson
Myndin er skýr.	Vigdís_Grímsdóttir
Þau þrjú.	Vigdís_Grímsdóttir
Við mældum lífið í afturför.	Sigmundur_Ernir_Rúnarsson
takið af henni dolluna!	Andrés_Indriðason
ÉG HELLI EF ÞIÐ HREYFIÐ YKKUR!	Andrés_Indriðason
Hæ, Lilli!	Andrés_Indriðason
Kannski storminum frekar.	Sigmundur_Ernir_Rúnarsson
ÞAÐ ER STRANGLEGA BANNAÐ AÐ REYKJA!	Andrés_Indriðason
En það var samt ekki.	Þórarinn_Eldjárn
Þau voru sjaldan heima vegna starfa sinna.	Andrés_Indriðason
Bókmenntir og listir eru einkamál, sagði Þórður.	Lena_og_Árni_Bergmann
kallaði Indverjinn á eftir honum.	Ólafur_Jóhann_Ólafsson
Milljónum hrogna hent	Eðvarð_Ingólfsson
spurði Friðrik sjálfan sig.	Ólafur_Jóhann_Ólafsson
Svo varð neyðarleg þögn.	Guðlaug_Richter
Hún var lagleg.	Andrés_Indriðason
„Ég sagði það nú ekki“ 	Guðlaug_Richter
Skúlína, móðir mín.	Eðvarð_Ingólfsson
Þær eru þú.	Vigdís_Grímsdóttir
Og ef ég gæti.?	Sigmundur_Ernir_Rúnarsson
Ég tala.	Vigdís_Grímsdóttir
Hann var hrærður.	Andrés_Indriðason
Borgin var mestöll í rústum.	Lena_og_Árni_Bergmann
Hún sá það.	Andrés_Indriðason
Hún horfði á eftir honum.	Andrés_Indriðason
Samt skelfur rödd mín ekki.	Vigdís_Grímsdóttir
Hvers vegna sá ég þetta ekki fyrir?	Ólafur_Jóhann_Ólafsson
Á hvaða villigötum vorum við eiginlega?	Sigmundur_Ernir_Rúnarsson
Verð sextán í næsta mánuði.	Andrés_Indriðason
Allar tiltækar klukkur byrja að tifa.	Vigdís_Grímsdóttir
En ekki nóg.	Vigdís_Grímsdóttir
Flækist bara rækilegar.	Vigdís_Grímsdóttir
Á ég að trúa þessu?	Andrés_Indriðason
Hlátur minn hljóðar.	Vigdís_Grímsdóttir
Spýti tvisvar á gólfið.	Vigdís_Grímsdóttir
Þú þarft ekki að útskýra neitt.	Andrés_Indriðason
Ég er máttug.	Vigdís_Grímsdóttir
Harðan og óvæginn.	Sigmundur_Ernir_Rúnarsson
Réttir honum.	Vigdís_Grímsdóttir
Hún leit upp óttaslegin og hann skellihló.	Guðlaug_Richter
Hann kemur aftur.	Vigdís_Grímsdóttir
Það held ég.	Andrés_Indriðason
Það er í Amsterdam.	Elín_Pálmadóttir
Ég sný mér undan.	Vigdís_Grímsdóttir
Ég sé það sem ég sé.	Vigdís_Grímsdóttir
er þetta í salnum?	Andrés_Indriðason
Ég lít í kringum mig í bekknum.	Vigdís_Grímsdóttir
en ég get það ekki.	Ólafur_Jóhann_Ólafsson
Þvo vandlega.	Vigdís_Grímsdóttir
EKKI KRÓNU?	Andrés_Indriðason
Hann er fallegur.	Vigdís_Grímsdóttir
Herpi munninn.	Vigdís_Grímsdóttir
Ég var þá fjögurra eða fimm ára.	Eðvarð_Ingólfsson
Og samur var þroski minn.	Vigdís_Grímsdóttir
Mér kemur hann ekkert við lengur.	Vigdís_Grímsdóttir
Alltaf fékk hún svar við bænum sínum.	Eðvarð_Ingólfsson
Á hún að teygja sig í símann?	Vigdís_Grímsdóttir
það er pabbi hennar.	Andrés_Indriðason
Það gerir hana órólega.	Vigdís_Grímsdóttir
Kann að klóra.	Vigdís_Grímsdóttir
Komdu til mín!	Vigdís_Grímsdóttir
Öndum og dönsum.	Vigdís_Grímsdóttir
Hlátur hennar er glaðlegur.	Vigdís_Grímsdóttir
Kinnarnar ljósrauðar eftir gönguna.	Vigdís_Grímsdóttir
Gamla konan bauð þeim undireins til stofu.	Ólafur_Jóhann_Ólafsson
Það veit hún.	Vigdís_Grímsdóttir
Réttlætið skal ná fram að ganga.	Vigdís_Grímsdóttir
Það var óvenju létt yfir Gamla.	Guðlaug_Richter
Daginn eftir var ég alveg ómöguleg.	Elín_Pálmadóttir
Börn elska.	Vigdís_Grímsdóttir
En Stjáni varð eftir.	Guðlaug_Richter
Ég skrifa undir núna.	Vigdís_Grímsdóttir
Og sérstök, já.	Sigmundur_Ernir_Rúnarsson
„Valdimar, hvar hefur þú verið?“ 	Ólafur_Jóhann_Ólafsson
Það rennur svitaperla niður lendina.	Vigdís_Grímsdóttir
sagði ég hvumsa.	Andrés_Indriðason
Skýrði nánar hvernig þetta hefði komið til.	Andrés_Indriðason
En augun eru blíð.	Vigdís_Grímsdóttir
